Z_PK,Z_ENT,Z_OPT,ZACTIVITYCONFIDENCE,ZALTITUDE,ZCOURSE,ZHORIZONTALACCURACY,ZLATITUDE,ZLONGITUDE,ZSPEED,ZTIMESTAMPEPOCH,ZVERTICALACCURACY,ZACTIVITYTYPE,ZTIMESTAMPEST
13060,3,1,2,276.070495605469,-1.0,65.0,40.0560812276055,-83.0513971143898,-1.0,1560136199.51889,235.192321777344,walking,"Sunday, June 9, 2019 at 11:09:59 PM Eastern Daylight Time"
13061,3,1,2,268.441345214844,-1.0,65.0,40.0560487024888,-83.0514557012859,-1.0,1560136206.14708,19.2291889190674,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:06 PM Eastern Daylight Time"
13062,3,1,2,268.414520263672,-1.0,65.0,40.0560562027317,-83.0513370066997,-1.0,1560136212.24346,13.9506874084473,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:12 PM Eastern Daylight Time"
13063,3,1,2,268.406066894531,-1.0,65.0,40.056019969775,-83.0512859072925,-1.0,1560136218.25309,11.3320178985596,stationary,"Sunday, June 9, 2019 at 11:10:18 PM Eastern Daylight Time"
13064,3,1,2,1763.49965791598,-1.0,32.0,40.058297554368,-83.0347270593423,0.0,1560136220.82097,58.3920707702637,stationary,"Sunday, June 9, 2019 at 11:10:20 PM Eastern Daylight Time"
13065,3,1,2,1763.49965791598,-1.0,32.0048330947235,40.058297554368,-83.0347270593423,0.0,1560136221.80679,128.786087036133,stationary,"Sunday, June 9, 2019 at 11:10:21 PM Eastern Daylight Time"
13066,3,1,2,1763.49965791598,-1.0,32.0048330947235,40.058297554368,-83.0347270593423,0.0,1560136222.80718,133.132629394531,stationary,"Sunday, June 9, 2019 at 11:10:22 PM Eastern Daylight Time"
13067,3,1,2,1763.49965791598,-1.0,24.0036248210426,40.058297554368,-83.0347270593423,0.0,1560136223.90925,91.6472778320313,stationary,"Sunday, June 9, 2019 at 11:10:23 PM Eastern Daylight Time"
13068,3,1,2,1763.49965791598,-1.0,24.0036248210426,40.058297554368,-83.0347270593423,0.0,1560136224.98655,77.2792205810547,stationary,"Sunday, June 9, 2019 at 11:10:24 PM Eastern Daylight Time"
13069,3,1,2,1763.49965791598,-1.0,24.0036248210426,40.058297554368,-83.0347270593423,0.0,1560136225.99416,74.9403381347656,stationary,"Sunday, June 9, 2019 at 11:10:25 PM Eastern Daylight Time"
13070,3,1,2,1763.49965791598,-1.0,24.0036248210426,40.058297554368,-83.0347270593423,0.0,1560136227.075,75.8255310058594,stationary,"Sunday, June 9, 2019 at 11:10:27 PM Eastern Daylight Time"
