Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST,time,gravity_original_x,gravity_original_y,gravity_original_z,user_original_x,user_original_y,user_original_z,interpolated_zcourse,vehicle_trajectory,vehicle_orthogonal,PLS_x,PLS_y
22,2,1,2,-0.0696782022714615,-0.20181547105312303,-0.976941883563995,311.49560546875,19.737594604492198,8.81078147888184,-47.3900146484375,0.9284572601318359,0.082248643040657,-0.0690232887864113,-0.35558119416236894,-0.295707732439041,-0.0204191170632839,0.550002992153168,1560740663.91736,-0.10791879892349199,0.0255613327026367,0.0043008923530578605,"Sunday, June 16, 2019 at 11:04:23 PM Eastern Daylight Time",4,1.2218294914018157e-08,1.2866099297070832e-09,-0.9999999900448713,-0.06381573416206128,0.09078827057099381,0.0018408057316613852,296.25169615440603,0.05319767315504687,0.09739078791550904,0.05319767315504689,0.09739078791550898
23,2,1,2,-0.0291203018277884,-0.0528603196144104,-0.9981772303581241,246.372650146484,19.9044227600098,-15.6316890716553,-36.627105712890604,0.978451311588287,0.0288609657436609,-0.00885587744414806,0.20425878465175604,0.0799167826771736,0.252066940069199,2.07018160820007,1560740664.92059,-0.095193088054657,-0.0699272155761719,-0.0219033360481262,"Sunday, June 16, 2019 at 11:04:24 PM Eastern Daylight Time",4,1.688574627345396e-10,-2.098213481432909e-09,-0.9999999942868472,-0.05912691847922113,-0.1006608668037947,-0.02833183769393509,296.25169615440603,-0.11643140597619184,0.008504722038194808,-0.11643140597619184,0.00850472203819478
24,2,1,2,0.0400400385260582,-0.0903374031186104,-0.9951059818267819,166.01969909668,-3.6521997451782204,-12.797853469848599,-21.1879577636719,0.6143266558647161,0.0120119731873274,0.0479865930974483,0.7874996662139889,-0.38177353143692,0.445965170860291,1.02869725227356,1560740665.92383,0.0473470613360405,-0.10662309080362299,0.0329172611236572,"Sunday, June 16, 2019 at 11:04:25 PM Eastern Daylight Time",4,-1.459613045012853e-09,6.901356847111018e-10,-0.999999983077413,0.0940091831066248,0.0735214607007399,0.021228332426596715,296.25169615440603,0.10752012122811096,-0.051793389761992534,0.10752012122811094,-0.05179338976199253
25,2,1,2,0.00814600754529238,-0.21598815917968697,-0.9763619899749759,164.607040405273,-1.32150840759277,-14.538097381591802,-18.5413208007812,0.6020846962928771,0.0625390112400055,0.08892622590064998,0.790996134281158,0.12522982060909302,0.0167834982275963,0.0081192497164011,1560740666.9270802,-0.0286843404173851,0.0202484130859375,0.00221037864685059,"Sunday, June 16, 2019 at 11:04:26 PM Eastern Daylight Time",4,-3.148021422705316e-08,-9.3567542186479e-09,-0.9999999889063256,-0.010942413346371348,-0.03274402090779953,0.00676521074234883,296.25169615440603,-0.03420678766440055,-0.00466936748777314,-0.03420678766440053,-0.004669367487773156
26,2,1,2,0.12641498446464502,-0.0964865610003471,-0.987273812294006,159.921447753906,-1.78120422363281,-13.101081848144501,-21.9029235839844,0.568666994571686,-0.0244687329977751,0.0759234502911568,0.818690955638885,-0.41059941053390503,0.395397663116455,-0.0969426408410072,1560740667.9303,0.0213205218315125,-0.0272163674235344,-0.0438083410263062,"Sunday, June 16, 2019 at 11:04:27 PM Eastern Daylight Time",4,3.593621213104914e-09,2.2147485491397223e-08,-0.9999999925962049,0.015909622049081366,0.02240766669949383,-0.04857207479321577,296.25169615440603,0.02713359998520195,-0.004357447934659631,0.02713359998520195,-0.004357447934659638
27,2,1,2,-0.0167243722826242,0.0565846674144268,-0.9982576966285709,166.952651977539,-4.122632980346681,-7.0513820648193395,-22.003723144531197,0.621734023094177,-0.0110550839453936,-0.0273665152490139,0.7826722264289859,0.0242528710514307,-1.01221942901611,-0.970725119113922,1560740668.93357,-0.183837130665779,-0.0445608086884022,0.13572412729263303,"Sunday, June 16, 2019 at 11:04:28 PM Eastern Daylight Time",4,-9.88028459568413e-09,-4.592300633515789e-09,-0.9999999790464141,0.07804009353413024,-0.17293121336044961,0.13493455546525057,296.25169615440603,-0.12057671729108471,-0.14648111141180958,-0.12057671729108474,-0.14648111141180958
28,2,1,2,0.00241033337078989,-0.172442585229874,-0.9850166440010071,185.377548217773,0.7615756988525391,-22.942029953002898,-19.3289184570312,0.736652255058289,0.06318011134862901,0.0591604746878147,0.67070996761322,0.0703816935420036,-0.9745438694953922,-0.7080647945404049,1560740669.9368,0.0177770406007767,-0.108593553304672,0.0958106517791748,"Sunday, June 16, 2019 at 11:04:29 PM Eastern Daylight Time",4,1.4673499075523733e-08,-1.1353096518451622e-09,-1.0000000219333633,0.124625580827869,0.006359911504980095,0.07560608517289932,296.25169615440603,0.06082773214868648,-0.10895857411274497,0.060827732148686454,-0.10895857411274495
29,2,1,2,0.0422129556536674,-0.28670114278793296,-0.957089602947235,263.39068603515597,27.7093811035156,-19.7445697784424,-20.8233337402344,0.987380087375641,0.143346190452576,0.0301175359636545,0.0602107159793377,0.136653870344162,-0.878666460514069,-2.13403701782227,1560740670.94006,0.0458759069442749,0.136647045612335,-0.0404080748558044,"Sunday, June 16, 2019 at 11:04:30 PM Eastern Daylight Time",4,-4.084205347185121e-09,1.0779970083252266e-08,-0.9999999934853104,0.02729156698829271,0.14718335809215796,-0.0014338403435363682,296.25169615440603,0.14407429431006727,0.04062472457773693,0.14407429431006727,0.040624724577736936
30,2,1,2,0.0536019802093506,-0.30006489157676697,-0.952411592006683,323.991180419922,27.4135551452637,3.4328842163085898,-27.9272766113281,0.882304728031158,0.147809311747551,-0.0441202521324158,-0.44468441605567893,-0.0162799060344696,-0.39352801442146296,-0.767632186412811,1560740671.94334,0.108339406549931,0.0510575473308563,-0.0155145525932312,"Sunday, June 16, 2019 at 11:04:31 PM Eastern Daylight Time",4,-2.1542954940778625e-08,-2.0544203505057368e-08,-0.9999999760140218,0.10771665338749155,-0.054354634314806353,-0.005262870386461324,296.25169615440603,-0.0011037713747496375,-0.12064860288146564,-0.0011037713747496548,-0.12064860288146564
31,2,1,2,0.0521076507866383,-0.294257760047913,-0.954304575920105,19.9402160644531,7.0153226852417,23.7019062042236,-25.709045410156197,0.570724010467529,0.10745333135128,-0.10630853474140199,-0.8071100115776059,0.03752049431204799,0.0228490065783262,-0.724866807460785,1560740672.94659,-0.0411826521158218,-0.0037142634391784703,-0.0032305121421814,"Sunday, June 16, 2019 at 11:04:32 PM Eastern Daylight Time",4,-5.09915367846725e-08,1.0503447417375966e-08,-1.0000000301204823,0.011018492016024733,0.03993388394708164,-0.002029912186035286,296.25169615440603,0.04068873672748822,0.007781321027135203,0.04068873672748823,0.007781321027135191
